Parsing has started!
Parsing complete!
1:	V(g111111, ∅)
2:	C(1001, ∅)
3:	-(0, ^2)
4:	=(^1, ^3)
5:	V(g1111111, ∅)
6:	C(0101, ∅)
7:	=(^5, ^6)
8:	V(g11111111, ∅)
9:	C(010, ∅)
10:	C(10101, ∅)
11:	+(^9, ^10)
12:	=(^8, ^11)
13:	V(g, ∅)
14:	C(01010, ∅)
15:	=(^13, ^14)
16:	V(g0, ∅)
17:	V(g, ∅)
18:	=(^16, ^17)
19:	V(g1, ∅)
20:	V(g01, ∅)
21:	C(101, ∅)
22:	=(^20, ^21)
23:	C(10, ∅)
24:	C(1, ∅)
25:	+(^22, ^23)
26:	+(^25, ^24)
27:	=(^19, ^26)
28:	V(g10, ∅)
29:	V(g101, ∅)
30:	C(101, ∅)
31:	=(^29, ^30)
32:	C(10, ∅)
33:	+(^31, ^32)
34:	=(^28, ^33)
35:	V(g1010, ∅)
36:	V(g10, ∅)
37:	-(0, ^36)
38:	=(^35, ^37)
39:	V(g110, ∅)
40:	C(111, ∅)
41:	C(11, ∅)
42:	-(0, ^41)
43:	+(^40, ^42)
44:	-(0, ^43)
45:	-(0, ^44)
46:	-(0, ^45)
47:	=(^39, ^46)
48:	V(g100010010, ∅)
49:	C(1001, ∅)
50:	-(0, ^49)
51:	=(^48, ^50)
